,k,mean_accuracy,std_accuracy,mean_f1_score,std_f1_score
0,1.0,0.554155021905899,0.04507686367128021,0.5596427818139394,0.04375882300563272
1,2.0,0.7063725491364797,0.044853352840933884,0.7038783232371012,0.051754527559048295
2,3.0,0.8173374732335409,0.0436521494047852,0.8095327317714691,0.04372298112091301
3,4.0,0.8513071835041046,0.0401176088600593,0.850087583065033,0.041411964602276426
4,5.0,0.8863898515701294,0.045926559218990415,0.8842450579007467,0.06026603371488875
5,6.0,0.8939951062202454,0.02990548457533742,0.8943273027737936,0.02371199326033912
6,7.0,0.8993464112281799,0.02255043907716778,0.9001773297786713,0.032245662667353715
