stage,k,#_of_exp,batch_size,epochs,train_f1_score,test_f1_score
check_full_pretrain,2.0,0.0,64.0,50.0,1.0,0.7439814805984497
check_full_pretrain,2.0,1.0,64.0,50.0,1.0,0.7300681471824646
check_full_pretrain,2.0,2.0,64.0,50.0,1.0,0.7537625432014465
check_full_pretrain,2.0,3.0,64.0,50.0,1.0,0.7726183533668518
check_full_pretrain,2.0,4.0,64.0,50.0,1.0,0.7125040292739868
check_full_pretrain,3.0,0.0,64.0,50.0,0.9798319339752197,0.7988917827606201
check_full_pretrain,3.0,1.0,64.0,50.0,0.9798319339752197,0.7187274694442749
check_full_pretrain,3.0,2.0,64.0,50.0,1.0,0.8676576018333435
check_full_pretrain,3.0,3.0,64.0,50.0,1.0,0.8591136336326599
check_full_pretrain,3.0,4.0,64.0,50.0,1.0,0.8367770314216614
check_full_pretrain,4.0,0.0,64.0,50.0,0.9253034591674805,0.7625159621238708
check_full_pretrain,4.0,1.0,64.0,50.0,0.9551820755004883,0.7656176686286926
check_full_pretrain,4.0,2.0,64.0,50.0,0.970588207244873,0.8264576196670532
check_full_pretrain,4.0,3.0,64.0,50.0,0.9850606918334961,0.8525018095970154
check_full_pretrain,5.0,0.0,64.0,50.0,0.9668174982070923,0.8536911010742188
check_full_pretrain,5.0,1.0,64.0,50.0,1.0,0.8428975343704224
check_full_pretrain,5.0,2.0,64.0,50.0,1.0,0.9098379611968994
check_full_pretrain,5.0,3.0,64.0,50.0,1.0,0.8723872303962708
check_full_pretrain,5.0,4.0,64.0,50.0,0.988116443157196,0.8731865882873535
check_full_pretrain,8.0,0.0,64.0,50.0,0.9487985372543335,0.9071418642997742
check_full_pretrain,8.0,1.0,64.0,50.0,0.970934271812439,0.9247561097145081
check_full_pretrain,8.0,2.0,64.0,50.0,0.971005380153656,0.9107889533042908
check_full_pretrain,8.0,3.0,64.0,50.0,0.9776788949966431,0.9373815059661865
check_full_pretrain,8.0,4.0,64.0,50.0,0.992618203163147,0.8658114075660706
check_part_pretrain_inaturalist,0.0,0.0,64.0,50.0,0.0,0.23007601499557495
check_part_pretrain_inaturalist,0.0,1.0,64.0,50.0,0.0,0.23007601499557495
check_part_pretrain_inaturalist,0.0,2.0,64.0,50.0,0.0,0.23007601499557495
check_part_pretrain_inaturalist,1.0,0.0,64.0,50.0,1.0,0.5749911665916443
check_part_pretrain_inaturalist,1.0,1.0,64.0,50.0,1.0,0.6145133972167969
check_part_pretrain_inaturalist,1.0,2.0,64.0,50.0,1.0,0.44802141189575195
check_part_pretrain_inaturalist,2.0,0.0,64.0,50.0,1.0,0.6508004069328308
check_part_pretrain_inaturalist,2.0,1.0,64.0,50.0,0.9686274528503418,0.7269116044044495
check_part_pretrain_inaturalist,2.0,2.0,64.0,50.0,1.0,0.6793425679206848
check_part_pretrain_inaturalist,3.0,0.0,64.0,50.0,0.9798319339752197,0.7526857852935791
check_part_pretrain_inaturalist,3.0,1.0,64.0,50.0,0.9798319339752197,0.7211251258850098
check_part_pretrain_inaturalist,3.0,2.0,64.0,50.0,0.9798319339752197,0.8261793255805969
check_part_pretrain_inaturalist,4.0,0.0,64.0,50.0,0.9229691624641418,0.7859833240509033
check_part_pretrain_inaturalist,4.0,1.0,64.0,50.0,0.9417833685874939,0.7476585507392883
check_part_pretrain_inaturalist,4.0,2.0,64.0,50.0,0.9420167803764343,0.7804811596870422
check_part_pretrain_inaturalist,5.0,0.0,64.0,50.0,0.9517230987548828,0.8828286528587341
check_part_pretrain_inaturalist,5.0,1.0,64.0,50.0,0.9527034759521484,0.852536678314209
check_part_pretrain_inaturalist,5.0,2.0,64.0,50.0,0.9652406573295593,0.8622264266014099
check_part_pretrain_inaturalist,8.0,0.0,64.0,50.0,0.9410899877548218,0.9453157186508179
check_part_pretrain_inaturalist,8.0,1.0,64.0,50.0,0.9125597476959229,0.8433353304862976
check_part_pretrain_inaturalist,8.0,2.0,64.0,50.0,0.992618203163147,0.9263684153556824
check_part_pretrain_clip,0.0,0.0,64.0,50.0,0.0,0.11774279177188873
check_part_pretrain_clip,0.0,1.0,64.0,50.0,0.0,0.11774279177188873
check_part_pretrain_clip,0.0,2.0,64.0,50.0,0.0,0.11774279177188873
check_part_pretrain_clip,1.0,0.0,64.0,50.0,1.0,0.5091983079910278
check_part_pretrain_clip,1.0,1.0,64.0,50.0,1.0,0.562751054763794
check_part_pretrain_clip,1.0,2.0,64.0,50.0,1.0,0.4645126163959503
check_part_pretrain_clip,2.0,0.0,64.0,50.0,1.0,0.5944438576698303
check_part_pretrain_clip,2.0,1.0,64.0,50.0,1.0,0.6491580009460449
check_part_pretrain_clip,2.0,2.0,64.0,50.0,1.0,0.6967415809631348
check_part_pretrain_clip,3.0,0.0,64.0,50.0,1.0,0.7164572477340698
check_part_pretrain_clip,3.0,1.0,64.0,50.0,0.9798319339752197,0.6954818367958069
check_part_pretrain_clip,3.0,2.0,64.0,50.0,0.940616250038147,0.7487425804138184
check_part_pretrain_clip,4.0,0.0,64.0,50.0,0.8609243631362915,0.7987692356109619
check_part_pretrain_clip,4.0,1.0,64.0,50.0,0.9551820755004883,0.7323518991470337
check_part_pretrain_clip,4.0,2.0,64.0,50.0,0.9564892649650574,0.7688513994216919
check_part_pretrain_clip,5.0,0.0,64.0,50.0,0.9510695338249207,0.8537290692329407
check_part_pretrain_clip,5.0,1.0,64.0,50.0,0.9763517379760742,0.8591854572296143
check_part_pretrain_clip,5.0,2.0,64.0,50.0,0.988116443157196,0.8169524669647217
check_part_pretrain_clip,8.0,0.0,64.0,50.0,0.9629153609275818,0.957169234752655
check_part_pretrain_clip,8.0,1.0,64.0,50.0,0.949125349521637,0.9120959043502808
check_part_pretrain_clip,8.0,2.0,64.0,50.0,0.9778546690940857,0.8964861631393433
