,k,mean,std
0,1.0,0.5384999990463257,0.0321422588302213
1,2.0,0.6800000071525574,0.03583818224972126
2,3.0,0.7785000085830689,0.044672405201084044
3,4.0,0.8345000147819519,0.04587347680091609
4,5.0,0.8604999780654907,0.03524024561760461
