k,#_of_exp,batch_size,epochs,lr,train_accuracy,test_accuracy,train_f1_score,test_f1_score
1.0,0.0,16.0,15.0,0.0001,0.9411764740943909,0.5098039507865906,0.9215686321258545,0.5122655630111694
1.0,1.0,16.0,15.0,0.0001,0.9411764740943909,0.5770308375358582,0.9215686321258545,0.5506964921951294
1.0,2.0,16.0,15.0,0.0001,0.9411764740943909,0.6274510025978088,0.9215686321258545,0.6260631084442139
1.0,3.0,16.0,15.0,0.0001,0.9411764740943909,0.5574229955673218,0.9215686321258545,0.5861274003982544
1.0,4.0,16.0,15.0,0.0001,0.9411764740943909,0.5462185144424438,0.9215686321258545,0.5684384107589722
2.0,0.0,16.0,15.0,0.0001,0.9411764740943909,0.729411780834198,0.9392156600952148,0.7423375844955444
2.0,1.0,16.0,15.0,0.0001,0.970588207244873,0.6823529601097107,0.9686274528503418,0.6533971428871155
2.0,2.0,16.0,15.0,0.0001,0.970588207244873,0.679411768913269,0.9686274528503418,0.6772125363349915
2.0,3.0,16.0,15.0,0.0001,0.970588207244873,0.6735293865203857,0.9686274528503418,0.6737412214279175
2.0,4.0,16.0,15.0,0.0001,0.970588207244873,0.6852940917015076,0.9686274528503418,0.6864377856254578
3.0,0.0,16.0,15.0,0.0001,0.9607843160629272,0.8359133005142212,0.9596638679504395,0.8340696692466736
3.0,1.0,16.0,15.0,0.0001,0.9803921580314636,0.7863777279853821,0.9798319339752197,0.7751298546791077
3.0,2.0,16.0,15.0,0.0001,0.9607843160629272,0.8482972383499146,0.9596638679504395,0.8500890731811523
3.0,3.0,16.0,15.0,0.0001,0.9803921580314636,0.8235294222831726,0.9798319339752197,0.8020878434181213
3.0,4.0,16.0,15.0,0.0001,0.9803921580314636,0.7461300492286682,0.9798319339752197,0.7440469264984131
4.0,0.0,16.0,15.0,0.0001,0.9558823704719543,0.8921568393707275,0.9554154872894287,0.8991178274154663
4.0,1.0,16.0,15.0,0.0001,0.8970588445663452,0.7777777910232544,0.8935574293136597,0.7791957259178162
4.0,2.0,16.0,15.0,0.0001,0.970588207244873,0.8725489974021912,0.9701213836669922,0.8773375749588013
4.0,3.0,16.0,15.0,0.0001,0.970588207244873,0.8725489974021912,0.9701213836669922,0.8635765314102173
4.0,4.0,16.0,15.0,0.0001,0.9264705777168274,0.843137264251709,0.9266106486320496,0.8452556133270264
5.0,0.0,16.0,15.0,0.0001,0.9411764740943909,0.9100345969200134,0.9400772452354431,0.9148769974708557
5.0,1.0,16.0,15.0,0.0001,0.9411764740943909,0.8823529481887817,0.9418894648551941,0.8897228837013245
5.0,2.0,16.0,15.0,0.0001,0.9647058844566345,0.7958477735519409,0.9652406573295593,0.7630147933959961
5.0,3.0,16.0,15.0,0.0001,0.9529411792755127,0.9169549942016602,0.9534759521484375,0.9178422093391418
5.0,4.0,16.0,15.0,0.0001,0.9882352948188782,0.9100345969200134,0.988116443157196,0.9144100546836853
6.0,0.0,16.0,15.0,0.0001,0.970588207244873,0.8933823704719543,0.970382571220398,0.8940476179122925
6.0,1.0,16.0,15.0,0.0001,0.9803921580314636,0.8897058963775635,0.9809014797210693,0.8936350345611572
6.0,2.0,16.0,15.0,0.0001,0.970588207244873,0.875,0.970382571220398,0.8658899068832397
6.0,3.0,16.0,15.0,0.0001,0.9901960492134094,0.9448529481887817,0.9901275038719177,0.928656816482544
6.0,4.0,16.0,15.0,0.0001,0.970588207244873,0.904411792755127,0.970382571220398,0.912009596824646
7.0,0.0,16.0,15.0,0.0001,0.9831932783126831,0.929411768913269,0.9831501841545105,0.9329939484596252
7.0,1.0,16.0,15.0,0.0001,0.9831932783126831,0.8745098114013672,0.9831070899963379,0.8585503101348877
7.0,2.0,16.0,15.0,0.0001,1.0,0.8901960849761963,1.0,0.8922328948974609
7.0,3.0,16.0,15.0,0.0001,0.9747899174690247,0.8901960849761963,0.9746606349945068,0.87174391746521
7.0,4.0,16.0,15.0,0.0001,0.9915966391563416,0.886274516582489,0.991553544998169,0.9070137143135071
1.0,0.0,16.0,25.0,0.0001,0.9411764740943909,0.5070028305053711,0.9215686321258545,0.5142657160758972
2.0,0.0,16.0,25.0,0.0001,0.970588207244873,0.7882353067398071,0.9686274528503418,0.7901436686515808
3.0,0.0,16.0,25.0,0.0001,1.0,0.8637771010398865,1.0,0.8517730236053467
4.0,0.0,16.0,25.0,0.0001,0.970588207244873,0.8496732115745544,0.9703547954559326,0.8360422253608704
5.0,0.0,16.0,25.0,0.0001,0.9529411792755127,0.9031141996383667,0.9525846838951111,0.9056034088134766
6.0,0.0,16.0,25.0,0.0001,0.9411764740943909,0.8566176295280457,0.942547619342804,0.8717248439788818
7.0,0.0,16.0,25.0,0.0001,0.9579831957817078,0.9254902005195618,0.9578108191490173,0.9385291934013367
